"year","locationdesc","category","indicator","datavalueunit","datavalue","datavaluefootnote","gender","stratificationid1","indicatorid","lowconfidenceinterval","highconfidenceinterval"
2013,"Alabama","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",5.4,"","Female","GENF","MTH1_0",5.0,5.9
2013,"Alaska","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",3.8,"","Female","GENF","MTH1_0",3.4,4.3
2013,"Arizona","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",4.6,"","Female","GENF","MTH1_0",3.8,5.3
2013,"Arkansas","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",5.6,"","Female","GENF","MTH1_0",5.0,6.1
2013,"California","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",4.1,"","Female","GENF","MTH1_0",3.8,4.4
2013,"Colorado","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",3.9,"","Female","GENF","MTH1_0",3.6,4.1
2013,"Connecticut","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",4.1,"","Female","GENF","MTH1_0",3.7,4.5
2013,"Delaware","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",4.2,"","Female","GENF","MTH1_0",3.8,4.7
2013,"District of Columbia","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",3.5,"","Female","GENF","MTH1_0",3.0,4.0
2013,"Florida","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",4.7,"","Female","GENF","MTH1_0",4.3,5.0
2013,"Georgia","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",3.7,"","Female","GENF","MTH1_0",3.4,4.1
2013,"Guam","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",3.3,"","Female","GENF","MTH1_0",2.8,3.8
2013,"Hawaii","Mental Health","Recent mentally unhealthy days among adults aged ≥18 years","Number",2.9,"","Female","GENF","MTH1_0",2.7,3.2
